suffix_old,suffix
1,I
2,II
3,III
4,IV
5,V
6,VI
7,VII
8,VIII
11,II
111,III
1st,I
1St,I
1v,IV
1x,IX
2nd,II
2Nd,II
3rd,III
3Rd,III
4th,IV
4Th,IV
5th,V
5Th,V
6th,VI
7th,VII
8th,VIII
Dr,Dr
Dr.,Dr
Esq,Esq
I,I
Ii,II
Iii,III
Iv,IV
Ix,IX
J,Jr
Jnr,Jr
Jr,Jr
Jr Iii,III
Jr.,Jr
Lt,Lt
Ltc,LTC
Md,Dr
Ms.,Ms
Mrs,Mrs
Ph D,Dr
Phd,Dr
Ret,Ret
R,Rev
Rev,Rev
S,Sr
Sr,Sr
Sr.,Sr
Sr`,Sr
Usa,USA
Usaf,USAF
Usmc,USMC
Usn,USN
V,V
V1,VI
V11,VII
V111,VIII
Vi,VI
Vii,VII
Viii,VIII
X,X
X1,XI
X11,XII
X111,XIII
Xi,XI
Xii,XII
Xiii,XIII
Xiv,XIV
_Ii,II
_Jr,Jr
